	37.AV791	64.AVI333	47.AV865	99.AVI440	67.AVI336	26.AV604	42.AV816	68.AVI338	23.AV596	53.AV974	8.AV567	54.AV996	40.AV803	9.AV568	92.AVI427	60.AVI327	90.AVI420	3.AV541	44.AV833	46.AV864	65.AVI334	86.AVI408	93.AVI429	73.AVI352	74.AVI353	16.AV584	22.AV591	81.AVI383	30.AV611	17.AV586	88.AVI413	58.AVI321	77.AVI362	7.AV555	12.AV572	50.AV968	36.AV782.2	66.AVI335	62.AVI331	20.AV589	102.AVI470	61.AVI328	34.AV718	27.AV608	79.AVI372	82.AVI390	4.AV542	39.AV802	48.AV866	95.AVI434	43.AV817	69.AVI339	97.AVI438	51.AV971	55.AVI316	96.AVI436	18.AV587	89.AVI414	45.AV863	94.AVI433	29.AV610	15.AV583	31.AV612	87.AVI409	35.AV770	83.AVI403	14.AV580	84.AVI404	11.AV571	91.AVI422	33.AV717	85.AVI406	72.AVI349	78.AVI369	70.AVI340_1	52.AV972	100.AVI446	76.AVI355	5.AV543	25.AV598	38.AV794	59.AVI323	98.AVI439	32.AV650	49.AV967	1.AV521	19.AV588	71.AVI342	24.AV597	41.AV814	63.AVI332	57.AVI319	80.AVI376	56.AVI317	101.AVI448	75.AVI354	103.AVI471	13.AV579	2.AV527	28.AV609	10.AV570	21.AV590	6.AV551
OTU_2	356.160688216893	102.508965114013	293.288230159031	717.160953932751	178.317126558769	285.10687509188	793.415144766147	32.155785750379	344.120954178823	475.813217284141	302.886475362982	979.800174959574	457.907875437211	407.559117262016	933.726310089646	83.7480382254681	1326.88998341707	425.585955649419	320.62695070597	975.568621236133	52.2913469573805	1212.27731092437	719.334602152112	47.7714135575407	90.055431131019	569.002604378612	288.789587781245	114.256042458581	171.553650820793	358.265315739868	207.529857022708	154.289504242966	81.5157827708542	86.126448952296	338.133464212152	490.05831699804	241	633.177198455925	155.745071799887	61.0438789979518	239.257681168075	139.761830876649	38.3485676509476	134.940785216078	172.432570832822	151.633639282587	992.043217983568	93.351902601195	247.350944021199	350.241742160279	140.712392376899	35.3889726345083	170.612918698537	43.1069664519698	73.9265738830718	651.072234645587	354.388853558421	103.720827047653	542.000034405643	368.028791657221	337.393222246538	590.794275998867	79.207249712313	224.969899665552	792.738805970149	14.7307528711187	732.806542799901	277.056	243.297830529791	745.632991875662	214.036147887711	464.100782975306	546.606892950392	59.5606445103495	359.239158335585	46.2593811066861	552.000629379432	11.2013698630137	583.522621809745	650.116208388458	217.900976126073	91.5275396148494	252.659967931587	156.69198012775	544.244262121158	609.456618898978	198.680518553105	96.2442502299908	312.788151429165	623.099680851064	75.6191964696148	66.4285423935504	861.886569091692	72.5910004825479	827.110803846396	250.721888108354	4.12154871469375	1255.07837360047	553.427296056674	254.070835242896	453.96	18.5083258325833	13.8173573817003
OTU_417	439.219708029197	1.26554277918534	128.159562758568	2.69320100725818	138.691098434598	0.636399274758661	1073.75812917595	4.59368367862557	5.34903037583662	60.3519217438188	164.805876300446	221.367362086791	502.599684079883	6.80074808303722	1.56272185789062	3.36337502913527	5.46442095883969	42.5128827877508	20.3742878375031	235.087797147385	3.94651675150042	4.91596638655462	10.7741746577849	0	0	7.39879547489216	59.7201510921334	0	3.88632865937072	40.9580584354383	0	6.96042876284055	1.18138815609934	0	3.76168254376931	329.130075609073	46	16.1384643858072	1.33686756909774	19.0975263904207	1.16332746110895	14.7253685027153	1.14473336271485	105.524627885238	2.78759352385625	30.3267278565174	110.667756024556	22.1710768677838	330.374826101358	0.603344947735192	159.976588952307	0.752956864564007	1.03821248700935	27.711621290552	4.40846541504556	5.40308908419575	37.5411921142395	0	597.853294340272	0.841208666645076	5.68412167443024	7.64324171153301	0.996317606444189	0	46.2223880597015	0	16.7519005406592	30.4968358208955	48.9998427920138	17.6439420699399	2.85381530516948	99.0776952419193	0	0.39707096340233	1.7545258038368	0.963737106389294	3.54195862879201	1.31780821917808	38.2447795823666	61.7610397969035	277.467364459602	11.0765812272748	0.694120791020844	42.0533623136977	363.288785939102	182.422389330306	25.6822214287676	0	10.7857983251436	476.305132978723	1.98997885446355	8.35855831442024	883.78314679294	3.65566189480457	3.26491106781472	0	0	14.9579739647506	11.7350995771135	24.9234933547204	41.535	3.40942844284428	14.8043114803931
OTU_1	376.474035453597	214.720424868447	359.832618514442	110.036498296549	244.934797028389	475.39025824472	324.841870824053	238.87155128853	350.807242148619	232.738350150196	469.177089287756	365.61763380431	412.48341419384	509.084570787357	285.978099993984	230.727526998679	274.185357522956	548.096198521647	349.222442407729	392.880190174326	281.189318544405	260.054621848739	121.051021155113	231.350131371519	255.063829787234	386.146659070562	444.915125636393	244.967438858208	253.166552667579	258.930254476909	138.139068916044	222.443702545779	433.175657236423	500.112405260811	363.211347837281	439.143167180062	355	309.721167574428	243.309897575789	532.002520876004	130.680451464573	233.539177657099	263.861040105773	217.586179621773	322.564393474795	406.462394188045	285.594209095629	371.657262231008	372.101854918847	15.0836236933798	672.152945728935	249.228722170686	134.967623311216	246.325522582685	272.307517560122	200.589682250767	496.294559750246	230.106575561274	392.760123860313	256.148038993426	339.829274392722	163.621989232077	82.1962025316456	56.4280936454849	528.823880597015	209.913228413441	329.335236161045	138.011104477612	305.908740764031	251.602613917344	4.99417678404659	133.494157799639	252.958276762402	229.904087809949	285.987706025399	281.732480767804	198.622141568414	203.601369863014	613.075406032483	273.977544963707	387.945195813242	429.071778067065	204.071512560128	185.495652945351	456.062913321781	339.047673098751	307.116564585679	134.078196872125	243.129870579279	476.650531914894	271.433115748828	345.3404356221	102.028734395179	282.008203313495	243.507950474514	70.8847222924142	0.294396336763839	265.764932769058	444.994975964145	188.972158570119	544.635	920.058618361836	376.029511601986
OTU_1034	164.763816475495	116.429935685052	139.989676243975	72.716427195971	80.6877819050146	76.3679129710393	141.061469933185	128.623143001516	15.1555860648704	95.6961411076022	114.819709614725	70.92018132174	152.391740945504	112.698111090331	135.956801636484	129.826276124621	155.575279063436	74.968954593453	133.683923705722	148.64500792393	164.109321583226	144.775210084034	75.7361100944294	143.655465055176	145.431131019037	76.1018963131765	106.643126950238	138.162877429535	29.4250598495212	51.7860508953817	95.733587295305	114.847074586869	256.361229873556	180.21416629514	147.541548661174	161.382840940913	82	164.131616519486	131.681455556127	173.582873798645	59.3297005165567	113.152831652444	66.3945350374614	32.6846192564895	148.140684410646	188.699639996108	73.7785040163709	100.936744687542	117.868102020537	9.05017421602787	270.955112701944	122.731968923933	83.0569989607483	81.5953293555143	94.9515627855968	97.2556035155234	154.669711510667	122.928387612033	150.133562704283	144.26728632963	34.9167474286429	8.77557381694531	28.8932105868815	31.1839464882943	104.870149253731	134.418119948958	131.876663830722	86.838447761194	150.062018550542	135.858353938538	2.85381530516948	76.6548484240112	155.979634464752	129.44513406916	148.25743042421	94.1249907240211	127.238052280451	112.013698630137	163.988979118329	58.0460900346837	142.042926026108	197.629528212955	112.794628540887	50.118390702626	177.740531173745	1.38198779795687	84.5373122030267	81.6416743330267	73.7029552218147	196.531994680851	131.338604394594	162.332000948477	60.0991175204477	116.981180633746	152.634592420338	48.2409915601152	0	87.3128247709862	41.3075505114396	20.4595840971586	125.775	211.384563456346	149.688038301753
OTU_6	516.861835245047	205.017930228026	174.987095304968	508.245504369723	65.7562350756169	351.292399666781	39.604008908686	110.248408287014	110.10087523597	447.137718555034	164.310963759003	219.990271187339	116.858089811576	103.468524406209	165.648516936406	161.442001398493	149.146548523624	57.5980992608237	368.524399306416	181.11822503962	80.9035934057586	229.821428571429	260.164629236513	243.975433526012	353.509518477044	149.032880279971	41.3775332566924	431.254464605895	75.5058139534884	194.903864278982	86.73848513333	49.3030370701206	161.850177385609	170.081642888988	247.853083161689	380.954424530944	198	82.7525514250965	467.903649184209	120.723648968016	400.96019826222	318.274631497285	398.367210224769	201.243869993528	119.070066233288	51.3869555346544	140.813811429095	243.298396154365	158.734779728387	862.179930313589	123.123343329786	301.935702690167	636.770325365737	917.049393448453	25.4334543175706	299.196058037339	212.107735445453	178.630313248735	66.1302597626011	233.014800660686	127.48672898365	84.6418248795693	498.158803222094	1019.78929765886	281.310447761194	245.819438536793	67.3640255783956	1.55068656716418	221.179845936174	314.062168844931	298.937153216503	288.368239309376	64.7654569190601	232.683584553765	278.530971359092	292.333588938086	264.284605379096	388.094520547945	143.12819025522	150.4554653699	267.28507585558	335.212326614894	385.93115980759	369.839158977999	336.650670155957	251.061116628831	226.502925100937	235.632474701012	200.436085542252	81.5141489361702	230.439551346879	106.021713356594	365.719436074042	77.2911372044394	226.367167368487	381.005382321726	1011.54581312055	63.6583543151015	164.291394079589	181.904302245646	63.765	150.98897389739	7.23766339041443
OTU_5	521.82732012513	288.121906061197	300.189129692185	303.177484817064	198.130140620854	283.834076542363	429.41425389755	41.3431531076301	120.353183456324	445.137102364631	326.147364810792	962.586538716433	156.787656549701	323.035533944268	264.099993983515	301.022065107606	283.828453332673	130.738542766631	229.121377260342	481.609825673534	485.421560434551	491.105042016807	79.8556474635825	214.630136626379	268.488241881299	280.097257263775	256.796649696173	236.274044323316	240.397187072503	201.024033930254	237.727699995053	306.548883430103	223.676157554808	621.702686134641	211.072187178167	585.978822458695	579	375.648511448363	300.795203046992	252.701197416102	374.203666656714	271.515128006206	179.150771264874	205.446178183649	227.387986017417	280.943437226348	104.321218044653	128.358866076643	519.652070221928	12.3685714285714	408.735996904324	353.889726345083	272.703813254457	461.347176670486	263.829699454265	416.713245618597	299.954124992773	203.984293193717	396.334732496129	357.513683324157	291.920248851096	135.879852649476	52.804833141542	33.0401337792642	567.591044776119	548.720544449171	285.851579438483	142.146268656716	97.659408897972	391.342635111268	331.756029225952	136.101465569163	402.156187989556	264.449261625952	353.098318022156	475.443639152052	120.97151009105	173.291780821918	197.598027842227	306.947724103408	761.635187580854	248.931588634017	403.284179583111	464.891279276082	742.652296919758	224.342685868331	190.833173116537	422.147194112236	150.102360024915	486.66710106383	267.851153810793	227.880695098405	44.2590400344382	117.50341804729	252.758531833323	123.391923990499	5.88792673527678	213.933813681899	96.6972205154155	168.14058203483	212.94	271.293091809181	310.890541088256
OTU_8	443.282377476538	5.90586630286494	48.799218127301	6.15588801659013	2.010015919342	15.9099818689665	315.49710467706	97.1235977766549	21.8418740346662	309.428637448972	18.8066765748257	187.972907775097	135.174404829065	5.82921264260333	1.56272185789062	913.492657913138	0	14.1709609292503	27.1657171166708	491.214580031696	873.824584061384	413.186974789916	74.46856013469	2.7297950604309	6.1528555431131	211.746480019533	163.803842995566	188.149896005164	178.215928522572	122.403393025448	253.790382427151	87.875413130862	0.393796052033112	44.8726036558181	33.4371781668383	958.29585550266	133	282.251440960288	0	117.313376398298	48.8597533665761	480.770364623739	2.2894667254297	1207.93014309341	1462.29191708574	547.144715078001	186.826211783391	61.2621860820342	363.928519377277	0.603344947735192	1250.0788429912	55.7188079777365	14.1889039891278	971.95945785751	89.1866464736141	0.675386135524468	197.091258599757	310.778329931671	476.763426801996	0.420604333322538	23.5485040797824	597.022102578634	1.49447640966628	1.11371237458194	137.176119402985	511.893662271374	30.2959903394901	42.902328358209	140.534271340984	4.58742493818439	0.713453826292369	149.659465970689	1283.78020887728	12.7062708288746	0.8772629019184	223.908254384446	37.0543364242857	67.2082191780822	146.025522041763	761.100332534773	41.2382688462895	6.99573551196301	138.130037413148	13.2496894960965	578.690101495915	249.218466231555	2.49688263890796	7.30128794848206	11.2352065886913	78.7509574468085	249.145352578836	59.3897564445649	0	4.70013672189159	3.80906291245051	1.96902006367817	0.883189010291517	96.3571811217657	30.5112589004952	473.174381301558	8.19	24.8401215121512	3.61883169520721
OTU_77	406.718352450469	57.793120249464	0.492921395225263	132.351592356688	62.8847837622712	80.1863086195913	0.889977728285078	11.8123294593229	63.7426119787198	236.072710467534	24.745627072139	190.038544124274	19.4152939185377	36.9183467364877	49.2257385235545	11.7718126019734	47.2511694676138	28.7990496304118	189.802576170424	4.57369255150555	11.1817974625845	8.60294117647059	31.3718615035503	3.75346820809249	105.157894736842	26.7765931472288	0	39.7412321595066	3.88632865937072	2.82469368520264	21.2027408103696	7.25044662795891	14.9642499772583	34.7400802496656	1.25389418125644	240.483162979558	102	6.18068848818148	24.7320500283082	0.341027256971798	152.783673225643	17.567106283941	59.5261348611723	0	10.7521464491598	2.94843187493919	36.4925933844415	31.5062671279033	0.430175554819477	54.6027177700348	108.047015575119	37.6478432282004	123.893356783116	130.347255700004	80.7088283677573	84.4232669405585	56.6872000925016	20.360014198243	0	111.880752663795	2.03004345515366	100.211391328988	113.580207134638	8.16722408026756	204.770149253731	7.36537643555934	21.0289815297637	22.2265074626866	34.7082219776765	64.929706817379	54.2224907982201	32.8520778960048	3.39086161879896	38.9129544134283	19.738415293164	116.290944170975	85.0070070910083	161.431506849315	90.9762180974478	0	312.596260143479	3.49786775598151	111.406386958846	218.331839957417	167.177140432153	22.1118047673099	122.703946826334	36.5064397424103	107.857983251436	48.0104521276596	66.8632895099752	45.3121845465939	31.2142703400775	78.85784944507	9.52265728112626	22.643730732299	23.846103277871	67.4848127712005	38.0217226298478	0.371992438130156	21.645	0	318.786173877799
OTU_10	239.246089676747	16.8739037224713	56.6859604509052	106.958554288254	156.781241708676	118.370265105111	0.889977728285078	378.65078322385	69.5373948858761	4.66810444427328	149.46358751572	2.06563634917689	17.2173361164391	201.107836169815	23.4408278683593	73.3215756351488	87.7521718684256	9.59968321013728	24.3061679464949	240.576228209192	246.328420572818	393.768907563025	92.2142595710417	130.688938518129	12.3057110862262	332.593472776105	528.949909673181	12.7296134260919	280.926043091655	268.816682375118	36.6229159451838	303.648704778919	653.307650322933	34.0163285777976	82.3390512358393	0.909199103892467	6	115.372851779388	3.34216892274435	929.981329762092	307.118449732764	472.245151280062	0	619.606996476595	41.4156752115786	156.266889371777	65.8453315414923	399.662833011366	490.830308049023	0	177.56563799942	71.5309021335807	113.511231913023	85.1875765598451	296.72363370499	0	38.6674278776666	250.08243854823	372.652950283847	0	401.542595429393	375.368092944177	0.498158803222094	1.48494983277592	278.825373134328	146.386856656742	318.286110272525	65.6457313432836	59.8886967457947	130.212292476157	10.7018073943855	51.1032322826742	122.749190600522	6.75020637783961	130.712172385842	0	42.7759619015651	42.1698630136986	176.15777262181	518.235491829656	3.56380101140774	56.5488620550343	132.577071084981	53.5748314407381	254.899211373201	140.502092792282	131.621384822434	9.29254829806808	66.5124230050523	0.690797872340426	66.0672979681898	25.9555231868839	1.86353852776582	2.61118706771755	29.3841996103325	85.3242027593875	0.588792673527678	248.37193978679	415.422525029819	427.047318973419	96.525	47.2449369936994	0.328984699564292
OTU_25	465.401355578728	52.7309491327227	236.602269708126	206.22224855577	202.724462722207	75.095114421522	104.572383073497	161.435169277413	377.998146559121	986.303781868597	395.435120612782	816.614903374599	224.924348414758	130.671516738358	241.440527044101	164.469038924714	252.970546741579	37.0273495248152	60.4079762199653	164.195562599049	120.697637316721	120.19537815126	301.043115438108	59.373042564372	264.572788353863	300.532025718239	86.1676465757924	69.2366779028903	163.780993502052	97.451932139491	233.872656211349	169.660451094239	177.995815518967	117.247770842621	71.8899330587024	133.197668720246	140	98.8910158109037	128.339286633383	106.400504175201	707.303096354244	93.77734678045	0.572366681357426	111.5946286043	329.334263461303	422.468167223429	37.2859106319294	135.94370816299	160.455481947665	54.6027177700348	452.708619522105	84.3311688311688	379.293628587417	310.472794088592	181.425307465337	296.494513495242	179.446898306065	218.966190433934	157.282779975916	245.632930660362	76.3296339137775	59.7305185604987	9.46501726121979	31.5551839464883	209.740298507463	216.357932794555	112.273375963993	475.543880597015	127.944033956925	347.938537619216	141.977311432181	292.539931740614	107.829399477807	199.32962362797	60.9697716833288	521.703020258738	210.610309235094	144.3	172.680974477958	59.4391961955161	770.290132894273	125.923239215334	399.466515232496	184.919579488999	12.8597800332426	50.2122233257662	497.593040182372	159.300827966881	410.759152882552	86.3497340425532	144.870460604946	378.334744757969	191.944468359879	329.009570532411	232.624913581799	473.877495325214	10.892664460262	268.199951786575	268.029674341273	119.40957263978	140.4	37.0166516651665	10.1985256864931
